"#user_id","#account_id",新增日期,激励pv,激励ecpm,其他pv,其他ecpm,关卡数,cpa,7日回收
845580914119028736,979937d733bb2092,2021-05-22,13,129.58,41,22.78,2,0.00,2.62
845622197200232448,aee323bd2afd73e3,2021-05-22,8,490.08,25,29.40,4,3.50,4.66
845625887732412417,a1c1377b55aa4634,2021-05-22,11,188.28,20,14.00,2,3.26,2.35
845636099597668352,4c45cb39733d805a,2021-05-22,15,21.05,75,8.56,7,3.50,0.96
845260305212256257,cc10d885b807baf8,2021-05-21,7,97.86,26,10.00,4,3.62,0.95
845258597021392896,74fff9434ae27972,2021-05-21,5,360.00,29,23.93,1,3.62,2.49
845260869497139203,7fd9745598b9fe4d,2021-05-21,6,166.67,22,34.09,1,3.62,2.90
845259983037538304,9b6981e30523a584,2021-05-21,7,321.91,25,18.60,2,3.67,2.72
845278017552527360,27df2ee642b3b7fb,2021-05-21,78,316.03,132,23.48,26,2.36,28.56
845744780889432064,352e9eb947953d09,2021-05-22,3,153.17,10,4.80,1,3.26,0.71
845697035814182912,7290a542440ba806,2021-05-22,9,89.72,11,10.00,2,3.26,0.92
845704467546251264,2525f504a842424f,2021-05-22,6,80.83,16,6.75,1,3.26,0.59
845356840879267843,3f110e348a01235f,2021-05-21,16,179.44,46,14.30,10,3.62,5.75
845357111151828992,f34e4b910dd86591,2021-05-21,8,100.31,29,9.14,4,3.62,1.07
845357240743239680,9be71dab7451ab33,2021-05-21,9,250.92,25,26.36,4,3.62,2.92
845677347247230976,3ab37d555f16e10e,2021-05-22,7,153.41,154,19.58,12,3.26,8.06
845639098348867584,804320b276146cec,2021-05-22,41,119.63,94,16.35,8,3.26,6.44
845622320403058688,ef87ff9cace19f22,2021-05-22,67,21.21,205,5.96,37,3.50,13.44
845327133783502848,8f9c7c5a030de981,2021-05-21,13,59.65,30,10.33,3,3.62,1.09
845308816385519616,41870c15cf324323,2021-05-21,2,275.00,8,35.13,1,3.09,2.21
845623296722087936,b4f3c3381fce3b98,2021-05-22,35,52.29,40,5.88,5,3.26,2.71
845264579891703808,582bfdca21a93ffc,2021-05-21,17,133.93,49,23.71,6,2.36,3.92
845269867545899009,c52e67675e2c9f52,2021-05-21,11,113.14,34,15.44,1,3.62,2.20
845264353252487168,dd898717bc202a45,2021-05-21,9,109.61,31,9.02,1,3.62,1.27
845711365229514754,49626fc135682f11,2021-05-22,29,36.64,37,9.23,5,3.50,9.11
845698457922314240,eed1aa2a6140a3fa,2021-05-22,15,65.30,82,6.85,12,3.26,4.42
845695908689096704,4dfb3abd2da535c9,2021-05-22,32,49.16,95,7.53,8,3.26,3.89
845382915415347200,48465fc89a800c36,2021-05-21,9,89.89,21,6.67,4,3.62,0.97
845356720820850688,691f6f12c7fa7920,2021-05-21,3,180.00,11,19.32,1,3.34,0.75
845357224770670592,ccfd92713e275a34,2021-05-21,4,362.80,9,11.33,2,3.62,1.55
845702115879690240,dcf8bbc0f7a2ab84,2021-05-22,2,89.68,6,14.67,1,3.26,0.27
845698489456930816,34ded87d793f1ed8,2021-05-22,12,54.75,24,6.04,2,3.50,1.29
